driver_id,total_fare,avg_distance
31,364.18,24.935
85,229.55,18.05666666666667
65,137.96,14.925
53,33.06,40.48
78,34.2,6.2
28,165.39,9.145
76,382.86,34.755
26,50.16,8.96
27,12.35,35.87
44,335.11,21.89
12,139.66,25.89
91,237.86,13.425
22,168.47,30.875
93,170.48,30.330000000000002
1,38.49,4.84
13,162.48000000000002,16.6075
16,126.39,25.23
6,163.82,34.25666666666667
86,229.74,21.150000000000002
3,162.69,16.994999999999997
40,145.64,29.89
20,200.06,26.03
94,237.95,12.535
54,295.65999999999997,26.986666666666668
5,153.65,19.12
19,44.46,21.82
92,172.4,26.035
64,127.96,20.56
41,133.60999999999999,43.92
15,171.25,29.810000000000002
43,103.75999999999999,27.014999999999997
37,105.1,28.115000000000002
61,173.37,23.675
9,67.04,44.0
17,42.95,42.555
72,235.04000000000002,37.519999999999996
35,116.56,16.09
59,226.78000000000003,27.146666666666665
100,48.6,21.16
8,157.77,21.649999999999995
39,91.51,9.7
23,452.77000000000004,34.37833333333333
49,281.28999999999996,13.4
84,75.37,44.95
87,76.7,48.29
51,173.57,37.980000000000004
69,346.59000000000003,27.512500000000003
97,142.34,11.18
63,140.56,11.34
50,237.83,17.265
45,213.91,45.96
38,226.29999999999998,23.169999999999998
82,186.3,27.686666666666667
80,78.97,4.44
73,188.26999999999998,16.015
25,222.44,27.595
24,169.32,18.535
70,68.09,23.06
62,75.66,46.44
95,149.82,22.189999999999998
29,162.72,35.915
21,199.32999999999998,14.233333333333333
98,239.22,11.486666666666666
90,276.61,13.350000000000001
32,157.64,24.28
60,62.19,16.91
75,235.72000000000003,14.572499999999998
56,85.94,48.67
58,6.17,33.79
33,299.11,18.1775
68,77.59,10.42
71,115.25,21.990000000000002
14,240.22,24.125
79,311.23,8.723333333333334
2,309.35,28.93
30,103.92,18.98
99,68.72,8.79
66,112.5,18.935000000000002
67,328.64,32.22333333333333
46,52.18,26.47
18,26.62,49.97
74,235.81,28.9
36,193.45,38.27
89,110.5,14.83
